V1,V2,V3
-63.764324,-58.607388,-69.381584
-58.70043,-60.562634,-69.08099
-53.928722,-62.237827,-68.778435
-48.83754,-63.715034,-68.473404
-41.824467,-64.991356,-68.165634
-27.870815,-66.05618,-67.85494
7.73402,-66.91482,-67.54115
39.94533,-67.58694,-67.224045
38.98261,-68.09892,-66.90339
33.25511,-68.47778,-66.578865
25.912983,-68.74801,-66.2501
17.800123,-68.93044,-65.91662
9.497576,-69.04226,-65.577866
1.3551369,-69.09736,-65.23313
-6.4577327,-69.10688,-64.88157
-13.891485,-69.079765,-64.52213
-20.975384,-69.023155,-64.153534
-27.81578,-68.942795,-63.7742
-34.644913,-68.843315,-63.382153
-41.89587,-68.728485,-62.97491
-50.160236,-68.60136,-62.549335
-59.46175,-68.46445,-62.10138
-67.47021,-68.319824,-61.62575
-71.38862,-68.169205,-61.115406
-72.39618,-68.01402,-60.560757
-72.41262,-67.855484,-59.94841
-72.164276,-67.69459,-59.25908
-71.83745,-67.5322,-58.46394
-71.47724,-67.36904,-57.51792
-71.09523,-67.205734,-56.346474
-70.69485,-67.04281,-54.81706
-70.27744,-66.880714,-52.670757
-69.84389,-66.71985,-49.332535
-69.39497,-66.56054,-43.275696
-68.93157,-66.403076,-29.385687
-68.45466,-66.24771,8.778456
-67.96531,-66.094666,41.62219
-67.46471,-65.94412,40.486713
-66.954124,-65.79625,35.36177
-66.43489,-65.651184,28.600069
-65.90836,-65.50906,20.919544
-65.37593,-65.36999,12.870433
-64.838936,-65.23406,4.822731
-64.29864,-65.10138,-3.016494
-63.75622,-64.97201,-10.562508
-63.212696,-64.84602,-17.816393
-62.66889,-64.7235,-24.855293
-62.125397,-64.60451,-31.873478
-61.582535,-64.48909,-39.28561
-61.040295,-64.37732,-47.822838
-60.498302,-64.26924,-58.114002
-59.955772,-64.164925,-68.298935
-59.411423,-64.06442,-73.878006
-58.86341,-63.967785,-75.44849
-58.3092,-63.87507,-75.72547
-57.74541,-63.786335,-75.705154
-57.167576,-63.70164,-75.6128
-56.569763,-63.621037,-75.49681
-55.944027,-63.544586,-75.36812
-55.27953,-63.472336,-75.22925
-54.561123,-63.404346,-75.08068
-53.76699,-63.34067,-74.922356
-52.864544,-63.281357,-74.75407
-51.80301,-63.226444,-74.57558
-50.499107,-63.175983,-74.386696
-48.80775,-63.13,-74.18724
-46.45718,-63.08853,-73.977066
-42.89391,-63.05159,-73.75609
-36.893986,-63.019188,-73.524254
-25.734087,-59.842083,-73.28157
-5.8338594,-56.858803,-73.02809
14.175902,-53.806606,-72.76393
18.227997,-50.221256,-72.48925
13.118145,-45.083744,-72.20428
5.436885,-35.563053,-71.90927
-2.7628694,-12.309455,-71.60457
-10.774682,30.149408,-71.29054
-18.373407,39.43017,-70.96762
-25.5565,34.88614,-70.63625
-32.477837,27.986082,-70.29696
-39.47103,19.993563,-69.950264
-47.036816,11.62552,-69.59673
-55.487198,3.3261957,-69.236946
-63.75822,-4.67659,-68.87149
-69.20876,-12.302495,-68.50096
-71.30719,-19.565586,-68.125946
-71.73379,-26.560585,-67.74701
-71.60379,-33.50504,-67.3647
-71.299614,-40.82533,-66.97953
-70.9318,-49.169647,-66.591965
-70.532524,-58.80846,-66.20241
-70.11197,-67.631035,-65.81121
-69.6739,-72.24518,-65.41863
-69.220184,-73.53808,-65.02485
-68.75212,-73.68605,-64.629944
-68.2709,-73.53734,-64.233864
-67.777725,-73.30611,-63.83646
-67.27387,-73.043144,-63.43741
-66.76068,-72.76113,-63.036232
-66.239525,-72.46352,-62.632256
-65.71183,-72.15138,-62.224586
-65.17901,-71.82522,-61.812054
-64.642426,-71.48538,-61.393166
-64.10339,-71.13225,-60.966022
-63.5631,-70.766266,-60.5282
-63.022575,-70.387985,-60.076607
-62.482662,-69.99803,-59.60724
-61.943974,-69.59713,-59.114876
-61.40685,-69.18607,-58.59254
-60.871323,-68.76575,-58.03076
-60.337082,-68.3371,-57.416325
-59.803417,-67.90112,-56.730213
-59.269176,-67.45885,-55.944107
-58.7327,-67.01133,-55.013916
-58.191715,-66.55962,-53.867325
-57.643223,-66.10476,-52.377655
-57.083286,-65.647736,-50.303684
-56.506744,-65.18948,-47.133755
-55.906796,-64.73084,-41.621407
-55.274277,-64.272575,-30.239925
-54.596634,-63.815292,-3.9098434
